realty_id,realty_type_ID,original_or_copy,link_original_ID,total_price_USD,square_meter_price_USD,credit,E_oselya
32804139,1473,original, ,61 907,1047,NO,YES
32804138,1473,original, ,45 776,1047,NO,YES
32804137,1473,original, ,33 520,1047,NO,YES
32804136,1473,original, ,34 567,1047,NO,YES
32789692,1434,original, ,48 566,748,NO,NO
32771716,1434,copy,32733195,36 186,549,NO,NO
32788010,1434,copy,32624616,54 279,1239,NO,NO
32788588,1434,original, ,74 753,1059,NO,NO
32788305,1434,copy,32752540,82 847,1218,NO,NO
32787412,1434,copy,32738331,85 704,1558,NO,NO
32803942,1434,original, ,48 566,868,NO,NO
32803225,1434,copy,32792991,58 088,727,NO,NO
32803896,1434,original, ,43 804,688,NO,NO
32803829,1434,copy,32792784,33 329,694,NO,NO
32803733,1434,original, ,27 997,532,NO,NO
32803760,1434,copy,32313675,23 807,793,NO,NO
32803552,1434,original, ,29 520,560,NO,NO
32803579,1434,original, ,28 473,509,NO,NO
32803356,1434,copy,32462630,69 420,1102,NO,NO
32803355,1434,copy,32748174,34 282,544,NO,NO
32803059,1434,original, ,39 043,691,NO,NO
32792981,1434,copy,32790928,99 988,1286,NO,NO
32793019,1434,copy,32714200,43 804,882,NO,NO
32802924,1434,copy,32102992,133 318,2051,NO,NO
32792947,1434,copy,32714200,43 804,882,NO,NO
32802845,1434,copy,32356996,165 695,2302,NO,NO
32792956,1434,copy,32792369,47 614,880,NO,NO
32792958,1434,copy,32792784,33 329,691,NO,NO
32792911,1434,copy,32191253,180 931,1444,NO,NO
32802348,1434,original, ,16 474,329,NO,NO
32792797,1434,copy,32693497,45 709,884,NO,NO
32784665,1434,original, ,20 950,491,NO,NO
32802371,1434,copy,32760672,27 140,485,NO,NO
32794393,1434,copy,32781856,43 804,811,NO,NO
32686586,1434,copy,32684970,78 086,888,NO,YES
32802103,1434,original, ,33 329,980,NO,NO
32802195,1434,original, ,45 709,762,NO,NO
32603166,1436,original, ,32 853,419,NO,NO
32802052,1434,copy,32801404,224 260,1428,NO,NO
32756639,1434,copy,32774942,49 518,1151,NO,NO
32801948,1434,copy,32801404,224 260,1428,NO,NO
32801882,1434,copy,31336507,53 327,635,NO,NO
32801878,1434,copy,32765486,47 614,793,NO,NO
32801909,1434,original, ,26 664,445,NO,NO
32801873,1434,original, ,36 186,566,NO,NO
32801871,1434,copy,29431729,52 375,563,NO,NO
31737287,1434,original, ,54 756,806,NO,NO
31869534,1434,copy,31854156,63 326,742,NO,YES
31866621,1434,original, ,46 661,667,NO,NO
31737662,1434,original, ,80 943,899,NO,NO
32384452,1434,copy,31437330,94 275,992,NO,NO
32794390,1434,original, ,63 802,1170,NO,NO
32099135,1434,original, ,90 466,1604,NO,NO
32464754,1436,original, ,41 424,872,NO,NO
32792783,1434,copy,32693497,45 709,884,NO,NO
32794353,1434,copy,32604319,32 377,572,NO,NO
32792807,1434,copy,32792674,76 182,544,NO,NO
32794274,1434,copy,32792369,47 614,882,NO,NO
32774276,1434,copy,32753387,43 614,688,NO,NO
32792784,1434,original, ,33 329,694,NO,NO
32801404,1434,original, ,224 260,1427,YES,YES
32792675,1434,copy,32698958,52 375,871,NO,NO
32792882,1434,original, ,42 851,1127,NO,NO
32801446,1434,original, ,51 423,829,NO,NO
32792674,1434,original, ,76 182,544,NO,NO
32792608,1434,copy,32191253,180 931,1444,NO,NO
32792411,1434,copy,32693497,45 709,879,NO,NO
32801333,1434,original, ,31 139,667,NO,NO
32792417,1434,copy,32790928,99 988,1286,NO,NO
32792616,1434,copy,30762123,36 186,670,NO,NO
32801288,1434,copy,32332888,19 998,527,NO,NO
32792579,1434,copy,32780427,33 806,705,NO,NO
32801270,1434,original, ,32 377,771,NO,NO
32801266,1434,original, ,43 328,885,NO,NO
32792570,1434,copy,30762123,36 186,671,NO,NO
32801005,1434,copy,32716325,54 279,1138,NO,NO
32792451,1434,copy,32698958,52 375,871,NO,NO
32792369,1434,original, ,47 614,880,NO,NO
32801129,1434,copy,27044315,41 900,1132,YES,YES
32774126,1434,copy,32753387,43 614,688,NO,NO
32801128,1434,original, ,104 750,1080,NO,NO
32792070,1434,copy,32790928,99 988,1286,NO,NO
32792064,1434,copy,32705139,33 329,569,NO,NO
32801158,1434,original, ,20 950,537,NO,NO
32792294,1434,copy,32714200,43 804,882,NO,NO
32754583,1434,original, ,33 329,574,NO,NO
32792152,1434,copy,32783884,40 948,920,NO,NO
32764372,1434,original, ,28 568,583,NO,NO
32769227,1434,copy,32746280,53 327,1016,NO,NO
32769298,1434,original, ,45 233,754,NO,NO
32801091,1434,copy,32786422,74 277,799,NO,NO
32792128,1434,copy,32783884,40 948,920,NO,NO
32798953,1436,original, ,59 041,1073,NO,NO
32783500,1434,original, ,314 249,2095,NO,NO
32800991,1434,copy,32313675,24 759,826,NO,NO
32780427,1434,original, ,34 758,772,NO,NO
32791875,1434,copy,32705120,45 709,1016,NO,NO
32791925,1434,copy,32790928,99 988,1286,NO,NO
32791769,1434,original, ,60 944,1401,YES,YES
32790512,1434,copy,32726102,36 186,754,NO,NO
32774072,1434,copy,32753387,43 614,688,NO,NO
32789807,1434,original, ,85 704,1517,NO,NO
32790110,1434,original, ,43 328,706,YES,NO
32800847,1434,copy,32395440,19 045,383,NO,NO
32789904,1434,copy,30762123,36 186,671,NO,NO
32800759,1434,copy,32701303,60 945,1386,NO,NO
32800753,1434,original, ,61 898,728,NO,NO
32800750,1434,original, ,59 993,1200,NO,NO
32769686,1434,copy,32753387,43 614,688,NO,NO
32795433,1434,original, ,31 425,555,NO,NO
32777744,1434,original, ,54 279,1226,YES,YES
32778773,1434,copy,32777744,54 279,1226,YES,YES
32777782,1434,copy,32777744,54 279,1226,YES,YES
32778538,1434,copy,32777744,54 279,1226,YES,YES
32313675,1434,original, ,23 807,793,NO,NO
32800443,1434,original, ,55 232,1285,NO,NO
32800434,1434,original, ,29 044,854,NO,NO
32800428,1434,original, ,30 473,663,NO,NO
32790470,1434,copy,32698958,52 375,871,NO,NO
32800421,1434,original, ,60 469,945,NO,NO
32800413,1434,copy,32023822,40 948,640,NO,NO
32800408,1434,copy,32386739,45 709,692,NO,NO
32800405,1434,copy,32434548,24 283,540,NO,NO
32790453,1434,copy,32312948,36 186,631,NO,NO
32788034,1434,copy,32726961,54 279,1010,NO,NO
32800318,1434,copy,32798758,39 890,768,YES,NO
32800322,1434,original, ,22 854,487,NO,NO
32788575,1434,copy,32726961,54 279,1010,NO,NO
32787691,1434,copy,32726961,54 279,1010,NO,NO
